"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"125";"A023722";"2011KW02";"    97.0";"     0.8";"     1.4"
"126";"A023722";"2011KW03";"    97.2";"     0.3";"     1.5"
"127";"A023722";"2011KW04";"    96.7";"    -0.6";"     1.9"
"128";"A023722";"2011JJ00";"    96.8";"";"     1.9"
"129";"A023722";"2012KW01";"    97.2";"     0.6";"     1.1"
"130";"A023722";"2012KW02";"    99.1";"     1.9";"     2.2"
"131";"A023722";"2012KW03";"    99.4";"     0.4";"     2.3"
"132";"A023722";"2012KW04";"    98.8";"    -0.7";"     2.2"
"133";"A023722";"2012JJ00";"    98.6";"";"     1.9"
"134";"A023722";"2013KW01";"    99.2";"     0.4";"     2.0"
"135";"A023722";"2013KW02";"    99.0";"    -0.2";"    -0.1"
"136";"A023722";"2013KW03";"    99.5";"     0.5";"     0.0"
"137";"A023722";"2013KW04";"    99.6";"     0.1";"     0.8"
"138";"A023722";"2013JJ00";"    99.3";"";"     0.7"
"139";"A023722";"2014KW01";"    99.1";"    -0.5";"    -0.1"
"140";"A023722";"2014KW02";"    99.4";"     0.3";"     0.4"
"141";"A023722";"2014KW03";"    99.4";"     0.0";"    -0.1"
"142";"A023722";"2014KW04";"    99.1";"    -0.3";"    -0.5"
"143";"A023722";"2014JJ00";"    99.2";"";"    -0.1"
"144";"A023722";"2015KW01";"    99.3";"     0.2";"     0.2"
"145";"A023722";"2015KW02";"   100.1";"     0.8";"     0.7"
"146";"A023722";"2015KW03";"   100.5";"     0.4";"     1.1"
"147";"A023722";"2015KW04";"   100.2";"    -0.4";"     1.1"
"148";"A023722";"2015JJ00";"   100.0";"";"     0.8"
"149";"A023722";"2016KW01";"    98.5";"    -1.7";"    -0.8"
"150";"A023722";"2016KW02";"    98.6";"     0.2";"    -1.4"
"151";"A023722";"2016KW03";"    98.9";"     0.2";"    -1.7"
"152";"A023722";"2016KW04";"    98.4";"    -0.5";"    -1.8"
"153";"A023722";"2016JJ00";"    98.6";"";"    -1.4"
"154";"A023722";"2017KW01";"    98.9";"     0.5";"     0.4"
"155";"A023722";"2017KW02";"    99.8";"     1.0";"     1.2"
"156";"A023722";"2017KW03";"    99.9";"     0.1";"     1.1"
"157";"A023722";"2017KW04";"    99.7";"    -0.3";"     1.3"
"158";"A023722";"2017JJ00";"    99.6";"";"     1.0"
"159";"A023722";"2018KW01";"    99.9";"     0.2";"     1.0"
"160";"A023722";"2018KW02";"   100.8";"     1.0";"     1.0"
"161";"A023722";"2018KW03";"   102.5";"     1.7";"     2.6"
"162";"A023722";"2018KW04";"   103.2";"     0.7";"     3.5"
"163";"A023722";"2018JJ00";"   101.6";"";"     2.0"
"164";"A023722";"2019KW01";"   102.9";"    -0.3";"     3.0"
"165";"A023722";"2019KW02";"       .";"       .";"       ."
"166";"A023723";"2002KW04";"";"";""
"167";"A023723";"2003KW01";"    83.2";"";""
"168";"A023723";"2003KW02";"    83.7";"     0.6";""
"169";"A023723";"2003KW03";"    83.7";"     0.1";""
"170";"A023723";"2003KW04";"    83.7";"     0.0";""
"171";"A023723";"2003JJ00";"    83.6";"";""
